response_id;birth_year;gender;seniority;industry;household;metro_regional;remote_frequency;remote_preference;collaboration_easy;promotion_reduced;regular_breaks;remote_employer_advantages;remote_with_paycut;barrier_caring_responsibility;barrier_connectivity;barrier_systems_software;barrier_collaboration_remotely;barrier_poor_management;barrier_equipment;barrier_isolation;barrier_costs;barrier_cyber_security;barrier_non_remote_tasks;barrier_workspace;barrier_motivation;barrier_management;barrier_living_situation;barrier_skills;barrier_health_safety;biggest_barrier_hybrid;smallest_barrier_hybrid;remote_feel_better;remote_more_active;colleagues_in_person;productivity
39;1979;Male;More than 5 years;Agriculture, Forestry and Fishing;Couple with dependent children;Metro;Rarely or never;50% - About half of my time;Strongly agree;Strongly disagree;Strongly agree;Somewhat Positive;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Stayed about the same;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Stayed about the same;Noisy work environment;Lack of privacy;Strongly agree;Strongly agree;Neither agree nor disagree;I知 40% more productive when working remotely
40;1962;Female;Between 6 and 12 months;Retail Trade;Couple with dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Somewhat agree;Strongly agree;Strongly Positive;Yes;Significantly improved;Somewhat improved;Significantly improved;Somewhat improved;Stayed about the same;Somewhat improved;Significantly improved;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Significantly improved;Somewhat improved;NA;NA;Strongly agree;Strongly agree;Somewhat agree;I知 50% more productive when working remotely (or more)
41;1961;Male;More than 5 years;Professional, Scientific and Technical;Couple with dependent children;Metro;10%;Less than 10% of my time;Somewhat agree;Strongly disagree;Neither agree nor disagree;Neither positive nor negative;No;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Difficulty collaborating with remote colleagues;Noisy work environment;Somewhat disagree;Neither agree nor disagree;Somewhat agree;My productivity is about same when I work remotely
42;1983;Male;Between 1 and 5 years;Professional, Scientific and Technical;Couple with dependent children;Metro;Rarely or never;I would not have preferred to work remotely;Strongly agree;Strongly disagree;Strongly agree;Neither positive nor negative;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Difficulty collaborating with remote colleagues;Interruptions;Strongly disagree;Strongly disagree;Strongly agree;My productivity is about same when I work remotely
43;1965;Male;Between 1 and 5 years;Construction;Couple with no dependent children;Metro;10%;90%;Somewhat agree;Neither agree nor disagree;Strongly agree;Somewhat Positive;No;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat improved;NA;NA;Strongly agree;Somewhat agree;Somewhat agree;I知 50% more productive when working remotely (or more)
44;1981;Female;Between 6 and 12 months;Information Media and Telecommunications;Single person;Metro;50% - I spent about half of my time remote working;50% - About half of my time;Somewhat disagree;Somewhat disagree;Neither agree nor disagree;Somewhat Positive;No;Not a barrier for me;Somewhat improved;Somewhat improved;Not a barrier for me;Not a barrier for me;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Not a barrier for me;Somewhat improved;Somewhat improved;Not a barrier for me;Stayed about the same;Not a barrier for me;Stayed about the same;NA;NA;Somewhat agree;Somewhat agree;Somewhat agree;I知 50% more productive when working remotely (or more)
45;1966;Female;Between 1 and 5 years;Professional, Scientific and Technical;Couple with no dependent children;Regional;30%;10%;Somewhat disagree;Somewhat agree;Somewhat agree;Somewhat Negative;No;Stayed about the same;Somewhat worsened;Stayed about the same;Significantly worsened;Stayed about the same;Somewhat worsened;Significantly worsened;Significantly worsened;Stayed about the same;Somewhat worsened;Somewhat improved;Significantly worsened;Somewhat improved;Somewhat worsened;Somewhat improved;Somewhat worsened;Difficulty collaborating with remote colleagues;Interruptions;Somewhat disagree;Somewhat disagree;Somewhat agree;I知 20% less productive when working remotely
46;1974;Female;Between 1 and 5 years;Wholesale Trade;Couple with dependent children;Metro;50% - I spent about half of my time remote working;50% - About half of my time;Somewhat agree;Somewhat disagree;Strongly agree;Somewhat Positive;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Difficulty collaborating with remote colleagues;Interruptions;Somewhat agree;Somewhat agree;Strongly agree;My productivity is about same when I work remotely
47;1978;Male;More than 5 years;Financial and Insurance;Couple with dependent children;Metro;90%;90%;Somewhat agree;Somewhat disagree;Somewhat disagree;Strongly Positive;No;Stayed about the same;Stayed about the same;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Stayed about the same;Not a barrier for me;Stayed about the same;Not a barrier for me;Not a barrier for me;NA;NA;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;My productivity is about same when I work remotely
48;1987;Female;Between 1 and 5 years;Rental, Hiring and Real Estate;Couple with dependent children;Metro;20%;30%;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat Positive;No;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat worsened;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat worsened;Significantly worsened;Somewhat worsened;Significantly worsened;Somewhat worsened;Significantly worsened;Somewhat worsened;Significantly worsened;Somewhat worsened;NA;NA;Somewhat agree;Neither agree nor disagree;Somewhat agree;I知 30% more productive when working remotely
49;1984;Male;More than 5 years;Manufacturing;Couple with dependent children;Regional;100% - I spent all of my time remote working;100% - All of my time;Somewhat agree;Somewhat disagree;Somewhat agree;Strongly Positive;No;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Significantly worsened;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Somewhat agree;Somewhat disagree;Somewhat disagree;I知 20% more productive when working remotely
